Município,Assistente Social,Psicólogo,Psiquiatra,Ações de promoção e prevenção em saúde,Ações complementares de atenção a saude,2017,2018,2019,2020,2021,Column1,AR_TER_km2,POP_EST,IDHM,PIB_P_CAP,CD_MUN
412120 Quitandinha,3.0,2.0,0.0,1604,0,0,0,0,0,0,,,,,,
412125 Ramilândia,1.0,1.0,0.0,10142,0,0,0,0,0,0,,,,,,
412130 Rancho Alegre,0.0,1.0,0.0,7870,0,0,0,0,0,0,,,,,,
412135 Rancho Alegre D'Oeste,1.0,1.0,0.0,42750,0,4,0,0,0,0,,,,,,
412140 Realeza,3.0,7.0,0.0,14351,0,115,186,0,0,0,,,,,,
412150 Rebouças,2.0,5.0,0.0,0,0,33,45,0,0,0,,,,,,
412160 Renascença,2.0,4.0,0.0,67368,0,0,0,0,0,0,,,,,,
412170 Reserva,2.0,1.0,0.0,67400,0,182,117,0,0,0,,,,,,
412175 Reserva do Iguaçu,1.0,2.0,0.0,808,0,28,19,0,0,0,,,,,,
412180 Ribeirão Claro,1.0,6.0,0.0,9407,0,0,0,0,0,0,,,,,,
412190 Ribeirão do Pinhal,1.0,2.0,0.0,639,0,2,0,0,0,0,,,,,,
412200 Rio Azul,4.0,3.0,0.0,36154,0,152,78,0,0,0,,,,,,
412210 Rio Bom,1.0,2.0,0.0,1746,0,0,0,0,0,0,,,,,,
412215 Rio Bonito do Iguaçu,2.0,2.0,0.0,462,0,147,69,0,0,0,,,,,,
412217 Rio Branco do Ivaí,1.0,1.0,0.0,0,0,59,30,0,0,0,,,,,,
