Column1;AR_TER_km2;POP_EST;IDHM;PIB_P_CAP;CD_MUN
4212;1635522;269330;6180;2319634;4121703
4213;8342320;81270;6480;1984419;4121752
4214;6292240;106220;7160;4386402;4121802
4215;3747320;128690;7010;1780107;4121901
4216;5990560;154330;6870;4016519;4122008
4217;1778360;31620;7290;216679;4122107
4218;6814060;132400;6290;2173541;4122156
4219;3823290;41210;64;1960202;4122172
4220;8122880;326350;6790;3462386;4122206
4221;6041380;346450;76;3624173;4122305
4222;4590240;681650;7390;4041066;4122404
4223;7421210;94470;6810;4291527;4122503
4224;5551250;96640;7130;2777797;4122602
4225;37125;45950;6620;1763051;4122651
4226;1903290;69540;74;841569;4122701
4227;1893150;33890;7;2458997;4122800
4228;20052;48620;7040;1786207;4122909
4229;3127170;149570;7180;2529201;4123006
4230;780450;32080;6530;2221079;4123105
4231;1101990;32530;7230;3326648;4123204
4232;4420130;77050;71;3346537;4123303
4233;2762410;123300;7050;2275357;4123402
4234;7547010;270360;7440;3565274;4123501
4235;1569350;15680;7170;2528719;4123600
4236;3494970;84840;72;2290405;4123709
4237;3211820;149240;6960;2215536;4123808
4238;1168580;37950;6870;2814709;4123824
4239;8366690;92100;6090;1803198;4123857
4240;4271930;115230;7;2861591;4123907
4241;2599570;40520;7040;2262531;4123956
4242;2512690;49160;6870;1913773;4124004
4243;32619;100550;7050;3664722;4124020
4244;2593930;239270;7380;2253387;4124053
4245;7214720;465030;7180;264640;4124103
4246;2190680;26110;6960;1842312;4124202
4247;1659040;20320;7160;4083544;4124301
4248;3256510;203540;6710;2523269;4124400
4249;2801330;54220;7390;5376237;4124509
4250;2250790;69610;6820;4503398;4124608
4251;8237740;110880;6370;2035117;4124707
4252;3880590;101220;7270;7175927;4124806
4253;3044130;58190;6640;2138391;4124905
4254;3533310;98970;6930;2710918;4125001
4255;7204070;153590;6290;3635497;4125100
4256;3795450;90050;7220;311069;4125209
4257;3150880;55350;7430;499742;4125308
4258;40469;55320;6760;2030166;4125357
4259;3996670;61150;6710;2317946;4125407
4260;1824190;36010;7130;2046585;4125456
4261;9464350;3346200;7580;7592683;4125506
4262;953810;21650;7250;2336359;4125555
4263;1341714;471370;7190;2741827;4125605
4264;8519170;276960;7040;3671962;4125704
4265;3083240;57450;6830;2792801;4125753
4266;3226920;111090;7170;2707968;4125803
4267;2506540;22650;7040;2811646;4125902
4268;2279820;88650;7150;2213584;4126009
4269;2186230;57780;7250;2427548;4126108
4270;6776090;67080;6550;1595341;4126207
4271;1035010;988880;6950;1661793;4126256
4272;1520840;55780;6990;14526627;4126272
4273;1441333;194410;6630;2376098;4126306
4274;4823940;44600;7620;4309107;4126355
4275;4444920;51490;7250;533741;4126405
4276;5055320;164560;7230;4208882;4126504
4277;2780350;214760;7040;2606049;4126603
4278;1707590;28800;6930;3070735;4126652
4279;4721550;152770;6210;2088807;4126678
4280;1933460;51960;7310;2463039;4126702
4281;5913990;164800;7030;2814678;4126801
4282;4343710;54520;6970;231096;4126900
4283;9027930;127610;6710;3121248;4127007
4284;138286;805880;7340;4391878;4127106
4285;32085;173040;7280;2860725;4127205
4286;7005990;170540;71;2095604;4127304
4287;8008070;175620;7140;3886678;4127403
4288;2951567;206880;6640;4387469;4127502
4289;6718890;172950;6360;1951742;4127601
4290;1196756;1446010;7680;4444808;4127700
4291;5914380;76990;6990;2489533;4127809
4292;5041710;120360;6810;2645658;4127858
4293;6684780;92690;6110;1294767;4127882
4294;6988710;85020;6950;2339533;4127908
4295;2997690;81050;73;4217114;4127957
4296;9389660;129770;6720;3315016;4127965
4297;6525810;208090;7390;4483533;4128005
4298;1234537;1134160;7610;3065936;4128104
4299;7199980;582980;74;2767896;4128203
4300;948190;26230;72;2495364;4128302
4301;23781;112330;7210;2500427;4128401
4302;3979160;193580;6870;2865264;4128500
4303;8193340;122670;65;1956569;4128534
4304;32709;83890;6990;2991857;4128559
4305;3118010;70940;72;3991508;4128609
4306;9677720;26300;6780;3443222;4128625
4307;7774820;55250;5460;1111158;4128633
4308;2431730;40510;7220;3173081;4128658
4309;3082180;68790;7020;5287669;4128708
4310;3597120;55840;7060;1660835;4128807
